company_name,arabic_name,sector,sub_sector,city,country,website,email,phone,linkedin_url,employees,founded_year,description,is_startup,is_listed,tags
DCC (Data Communication Company),شركة الاتصالات والمعلومات,Information Technology,IT Hardware & Networking Solutions,Riyadh,Saudi Arabia,https://www.dcc.com.sa,info@dcc.com.sa,+966 50 774 9999,N/A,100-250,1998,"DCC is a Saudi IT company specializing in hardware supply, networking infrastructure, and communication systems for businesses and government entities. They provide end-to-end IT solutions including procurement, installation, and maintenance of hardware assets. The company serves clients across various sectors in Saudi Arabia with a focus on large-scale deployments.",False,False,"IT Hardware, Networking, Communication Systems, Infrastructure, Government IT"
alfanar IT,الفنار تقنية المعلومات,Information Technology,IT Hardware & Electrical Technology Solutions,Riyadh,Saudi Arabia,https://www.alfanar.com,info@alfanar.com,+966 11 874 9000,https://www.linkedin.com/company/alfanar,1000-5000,1976,"alfanar is a major Saudi conglomerate with a strong IT and technology division offering hardware solutions, electrical systems, and smart building technologies. The company provides integrated IT infrastructure services including networking hardware, power systems, and industrial computing equipment. alfanar serves large-scale industrial, commercial, and government projects across Saudi Arabia and the wider MENA region.",False,False,"IT Hardware, Electrical Systems, Smart Buildings, Industrial IT, Infrastructure, Networking"
Advanced Electronics Company (AEC),شركة الإلكترونيات المتقدمة,Information Technology,Defense Electronics & IT Hardware,Riyadh,Saudi Arabia,https://www.aec.com.sa,N/A,+966 11 509 1200,https://www.linkedin.com/company/advanced-electronics-company,1000-3000,1988,"Advanced Electronics Company (AEC) is a leading Saudi company in electronics manufacturing, IT hardware, and defense technology. AEC provides a wide range of electronic and IT hardware solutions to government, defense, and civilian sectors, and is a key contributor to Saudi Arabia's Vision 2030 localization initiatives. The company manufactures and integrates advanced hardware systems for command, control, communication, and computing applications.",False,False,"Electronics, IT Hardware, Defense Technology, Manufacturing, Vision 2030, C4I Systems"
Siemens Saudi Arabia,سيمنز السعودية,Information Technology,Industrial IT Hardware & Automation,Riyadh,Saudi Arabia,https://www.siemens.com/sa,N/A,+966 11 479 1300,https://www.linkedin.com/company/siemens,500-1000,1951,"Siemens Saudi Arabia is the local branch of the global technology giant, providing industrial IT hardware, automation systems, and digital infrastructure solutions to key sectors including energy, healthcare, and transportation. The company delivers hardware-intensive solutions such as PLCs, control panels, IoT devices, and smart infrastructure systems across the Kingdom. Siemens is a key partner in several large-scale Saudi Vision 2030 infrastructure projects.",False,False,"Industrial IT, Automation Hardware, IoT, Smart Infrastructure, Energy, Vision 2030"
Al Nafithah Trading & Technology,شركة النافذة للتجارة والتقنية,Information Technology,IT Hardware Retail & Maintenance,Riyadh,Saudi Arabia,https://www.alnafithah.com,info@gmail.com,+966 59 930 6114,N/A,10-50,N/A,"Al Nafithah is a Saudi technology trading company involved in the supply, maintenance, and servicing of IT hardware equipment for small and medium-sized enterprises. The company offers products including computers, peripherals, networking devices, and hardware maintenance contracts. It caters primarily to local businesses and government offices in the Riyadh region.",False,False,"IT Hardware, Retail, Maintenance, SME, Peripherals, Networking"
Tamara,تمارا,Information Technology,FinTech / Buy Now Pay Later (BNPL),Riyadh,Saudi Arabia,https://www.tamara.co,N/A,N/A,https://www.linkedin.com/company/tamara-co,201–500,2020,Tamara is a leading Sharia-compliant Buy Now Pay Later (BNPL) platform in Saudi Arabia and the wider MENA region. It allows customers to split purchases into installments of up to 24 months with no late fees. The platform is integrated with thousands of retailers across Saudi Arabia.,True,False,"FinTech, BNPL, Payments, Sharia-Compliant, E-Commerce"
Lean Technologies,لين تكنولوجيز,Information Technology,FinTech / Open Banking,Riyadh,Saudi Arabia,https://www.lean.sa,N/A,N/A,https://www.linkedin.com/company/lean-technologies,51–200,2019,"Lean Technologies is a Saudi-based open banking infrastructure provider enabling businesses to connect directly to users' bank accounts. It offers a suite of APIs for payment initiation, identity verification, and financial data aggregation. Lean is licensed by the Saudi Central Bank (SAMA) and serves leading regional enterprises.",True,False,"FinTech, Open Banking, API, Payments, SAMA-Licensed"
Foodics,فودكس,Information Technology,SaaS / Restaurant Management Technology,Riyadh,Saudi Arabia,https://www.foodics.com,N/A,N/A,https://www.linkedin.com/company/foodics,201–500,2014,"Foodics is an all-in-one cloud-based restaurant management system (RMS) and point-of-sale (POS) platform serving the F&B industry across the MENA region. The platform streamlines restaurant operations including ordering, inventory, analytics, and online sales. Foodics has grown to support thousands of restaurants across 35+ countries.",True,False,"SaaS, POS, Restaurant Tech, Cloud, F&B, SME"
MOZN,موزن,Information Technology,Artificial Intelligence / Enterprise AI,Riyadh,Saudi Arabia,https://www.mozn.sa,info@mozn.ai,N/A,https://www.linkedin.com/company/mozn-ai,51–200,2018,"MOZN is a Saudi enterprise AI company that helps organizations make critical, data-driven decisions through specialized AI solutions. It operates across two core verticals: Financial Crime Prevention and Enterprise Knowledge Intelligence. MOZN has deployed its technology across 100+ organizations in the region.",True,False,"AI, Machine Learning, Financial Crime, Enterprise, RegTech"
Salla,سلة,Information Technology,E-Commerce Platform / SaaS,Riyadh,Saudi Arabia,https://www.salla.sa,info@salla.sa,N/A,https://www.linkedin.com/company/salla,201–500,2016,"Salla is Saudi Arabia's leading e-commerce platform, enabling merchants to create, manage, and grow their online stores with a comprehensive suite of tools. The platform provides integrated solutions for payments, shipping, marketing, and inventory management tailored for the Saudi and MENA market. Salla supports thousands of merchants and is one of the most prominent Saudi tech unicorn candidates.",True,False,"E-Commerce, SaaS, Online Retail, SME, Marketplace"
Zid,زد,Information Technology,E-Commerce Platform / SaaS,Riyadh,Saudi Arabia,https://www.zid.sa,N/A,N/A,https://www.linkedin.com/company/zid-platform,51–200,2017,"Zid is an integrated Saudi e-commerce platform that allows merchants to launch and manage their online stores within minutes. It offers comprehensive solutions covering payments, local and international shipping, inventory management, and digital marketing tools. The platform is a key enabler for Saudi retail businesses looking to expand their digital presence.",True,False,"E-Commerce, SaaS, Online Store Builder, Payments, Logistics, SME"
Aman,أمان,Information Technology,Cybersecurity / Information Security,Riyadh,Saudi Arabia,https://www.aman.sa,N/A,+966 11 5955,https://www.linkedin.com/company/aman-sa,"500–1,000",2010,"Aman is a Saudi-based cybersecurity company delivering information security consulting, risk management, and compliance services to enterprises and government entities. The company focuses on protecting critical national infrastructure and helping organizations meet local and international security regulations.",False,False,"Cybersecurity, Risk Management, Compliance, Information Security, Government"
Cysiv,سيسيف,Information Technology,Cybersecurity / Security Operations,Riyadh,Saudi Arabia,https://www.cysiv.com,N/A,N/A,https://www.linkedin.com/company/cysiv,100–500,2019,"Cysiv is a modern cybersecurity company providing next-generation Security Operations Center (SOC) services powered by cloud-native technology and AI-driven threat detection. Operating in Saudi Arabia and the broader Middle East, Cysiv helps enterprises detect, investigate, and respond to cyber threats faster and more effectively.",True,False,"SOC, Threat Detection, AI Security, Cloud Security, MDR"
Security Matterz,سيكيوريتي ماترز,Information Technology,Cybersecurity Consulting & Solutions,Riyadh,Saudi Arabia,https://www.securitymatterz.com,info@securitymatterz.com,+966 11 464 0188,https://www.linkedin.com/company/security-matterz,50–200,2012,"Security Matterz is a Saudi cybersecurity consulting and solutions firm offering penetration testing, vulnerability assessments, security architecture, and GRC (Governance, Risk & Compliance) services. The company serves enterprise and government clients across the Kingdom, positioning itself as a trusted local security partner.",False,False,"Penetration Testing, GRC, Cybersecurity Consulting, Vulnerability Assessment, Security Architecture"
SITE (Saudi Information Technology Company),شركة تقنية المعلومات السعودية,Information Technology,Cybersecurity / National Security Solutions,Riyadh,Saudi Arabia,https://www.site.sa,N/A,N/A,https://www.linkedin.com/company/site-sa,"1,000–5,000",2017,"SITE (Saudi Information Technology Company) is a government-affiliated entity established to develop and localize cybersecurity technologies in the Kingdom of Saudi Arabia. It supports Vision 2030 objectives by building national cyber capabilities, fostering local talent, and securing critical digital infrastructure for government and key economic sectors.",False,False,"National Cybersecurity, Vision 2030, Critical Infrastructure, Government IT, Cyber Defense"
Sirar by stc,سرار,Information Technology,Managed Cybersecurity Services,Riyadh,Saudi Arabia,https://www.sirar.sa,N/A,+966 920 000 811,https://www.linkedin.com/company/sirar-by-stc,"500–1,000",2020,"Sirar by stc is the dedicated cybersecurity subsidiary of stc Group, offering end-to-end managed security services including SOC operations, cyber threat intelligence, digital forensics, cloud security, and compliance advisory. It serves large enterprises and government bodies across Saudi Arabia and the wider GCC region.",False,False,"Managed Security, SOC, Digital Forensics, Threat Intelligence, Cloud Security"
Help AG (Saudi Arabia),هيلب إيه جي,Information Technology,Cybersecurity Services & Integration,Riyadh,Saudi Arabia,https://www.help-ag.com,info.sa@help-ag.com,+966 11 411 0000,https://www.linkedin.com/company/help-ag,"500–1,000",2005,"Help AG is a leading cybersecurity solutions and services provider operating across the Middle East, with a strong presence in Saudi Arabia. The company delivers security consulting, systems integration, and managed security services, and is a subsidiary of e& (formerly Etisalat Group). Help AG partners with global vendors to deliver best-in-class security architectures to enterprises and governments.",False,False,"Cybersecurity Integration, Managed Security, Consulting, e& subsidiary, Enterprise Security"
Meeza,ميزة,Information Technology,Managed Cloud Services & Data Centers,Riyadh,Saudi Arabia,https://www.meeza.net,info@meeza.net,N/A,https://www.linkedin.com/company/meeza,"500–1,000",2008,"Meeza is a Qatar- and Saudi-focused managed IT and cloud services provider offering enterprise-grade cloud hosting, data center, cybersecurity, and managed services. The company operates Tier III certified data centers and serves major government and enterprise clients across the GCC region. Meeza is known for delivering compliant, locally hosted cloud environments.",False,False,"Managed Cloud, Data Center, Cybersecurity, IaaS, Hosted Services, GCC"
Solutions by stc,سوليوشنز,Information Technology,Cloud & ICT Solutions,Riyadh,Saudi Arabia,https://www.solutions.com.sa,N/A,+966 11 432 9999,https://www.linkedin.com/company/solutions-by-stc,"5,000–10,000",2002,"Solutions by stc is a leading ICT and cloud solutions provider in Saudi Arabia, operating as a subsidiary of stc Group. The company offers cloud platforms, managed IT services, cybersecurity, big data analytics, and digital transformation solutions to enterprise and government clients. It is one of the largest ICT integrators in the Kingdom.",False,True,"Cloud Computing, ICT, Managed Services, Cybersecurity, Big Data, Digital Transformation"
Mobily Business Cloud,موبايلي للأعمال,Information Technology,Cloud Computing & Enterprise ICT,Riyadh,Saudi Arabia,https://www.mobily.com.sa,N/A,920002100,https://www.linkedin.com/company/mobily,"5,000–10,000",2004,"Mobily is Saudi Arabia's second-largest telecom operator offering a comprehensive enterprise cloud portfolio including virtual private cloud, hosted data centers, IoT, and unified communications. Through its Mobily Business division, the company provides scalable cloud computing and connectivity services tailored for SMEs and large enterprises. Mobily is listed on the Saudi Stock Exchange (Tadawul).",False,True,"Cloud Computing, Telecommunications, IoT, Unified Communications, Data Center, Enterprise IT"
Go Cloud (Gulf Solutions),جو كلاود,Information Technology,Cloud Infrastructure & Managed Services,Jeddah,Saudi Arabia,https://www.go.com.sa,N/A,N/A,N/A,200–500,2009,"Go is a Saudi-based cloud and managed IT services provider offering private and hybrid cloud infrastructure, colocation, disaster recovery, and cybersecurity services. The company operates its own data centers in Saudi Arabia and caters to enterprise and government customers seeking locally compliant cloud environments. Its myCloud platform offers flexible compute, storage, and networking resources.",False,False,"Cloud Infrastructure, Managed Services, Private Cloud, Hybrid Cloud, Disaster Recovery, Data Center"
Alibaba Cloud Saudi Arabia,علي بابا كلاود المملكة العربية السعودية,Information Technology,Public Cloud & AI Services,Riyadh,Saudi Arabia,https://www.alibabacloud.com,N/A,N/A,https://www.linkedin.com/company/alibaba-cloud,"1,000+ (KSA operations)",2023,"Alibaba Cloud established its first data center region in Saudi Arabia in 2023 in partnership with local entities, making it one of the largest global cloud providers with a local presence in the Kingdom. It offers a broad range of public cloud services including computing, storage, AI/ML, databases, and security compliant with Saudi data residency regulations. The Saudi region supports Vision 2030 digital transformation initiatives.",False,True,"Public Cloud, AI, Machine Learning, Big Data, Data Residency, Vision 2030, Global Cloud Provider"
Atos Saudi Arabia,أتوس المملكة العربية السعودية,Information Technology,Hybrid Cloud & Digital Transformation,Riyadh,Saudi Arabia,https://www.atos.net/en/saudi-arabia,N/A,N/A,https://www.linkedin.com/company/atos,"500–1,000 (KSA operations)",2010,"Atos is a global digital transformation leader with a strong presence in Saudi Arabia, delivering hybrid cloud, high-performance computing, cybersecurity, and digital workplace solutions. The company works closely with Saudi government entities and large enterprises to design and deploy multi-cloud architectures aligned with national digital strategies. Atos is a key partner in KSA's smart city and e-government programs.",False,True,"Hybrid Cloud, Digital Transformation, Cybersecurity, HPC, Multi-Cloud, E-Government, Smart City"
Lucidya,لوسيديا,Information Technology,AI-Powered Customer Experience / Social Listening,Riyadh,Saudi Arabia,https://www.lucidya.com,N/A,+966 33 0 5229,https://www.linkedin.com/company/lucidya,51-200,2016,"Lucidya is an AI-powered customer experience platform that unifies social listening, omnichannel engagement, and autonomous support into one CX platform. It turns every customer signal into actionable resolutions using advanced AI and NLP. Lucidya is a leading Arabic-first AI SaaS startup serving enterprises across the MENA region.",True,False,"AI, NLP, Social Listening, CX, SaaS, Arabic AI"
Tahakom,تحكم,Information Technology,AI & Smart Infrastructure / Computer Vision,Riyadh,Saudi Arabia,https://www.tahakom.com,N/A,N/A,https://www.linkedin.com/company/tahakom,201-500,2011,"Tahakom is a Saudi technology company specializing in AI-powered smart city solutions, traffic management, and computer vision systems. It develops intelligent infrastructure solutions deployed across Saudi Arabia under Vision 2030. Tahakom integrates AI and IoT to enhance public safety and urban mobility.",False,False,"AI, Computer Vision, Smart City, IoT, Traffic Management, Vision 2030"
Thiqah Business Services,ثقة لخدمات الأعمال,Information Technology,AI & Digital Transformation Services,Riyadh,Saudi Arabia,https://www.thiqah.sa,N/A,N/A,https://www.linkedin.com/company/thiqah,201-500,2009,"Thiqah Business Services is a Saudi technology and AI solutions company offering digital transformation, data analytics, and AI-powered business process services. It supports government and enterprise clients in Saudi Arabia with advanced technology platforms. Thiqah is a subsidiary of STC Group, one of the region's largest telecom conglomerates.",False,False,"AI, Digital Transformation, Data Analytics, BPO, STC Group, Government Tech"
Tonomus,تونومس,Information Technology,AI & Cognitive Technologies / Smart City,Riyadh,Saudi Arabia,https://www.tonomus.com,N/A,N/A,https://www.linkedin.com/company/tonomus,501-1000,2022,"Tonomus is the cognitive technologies and innovation arm of NEOM, Saudi Arabia's flagship futuristic mega-city project. It develops and deploys AI, cloud, and advanced technology infrastructure to power NEOM's smart city vision. Tonomus plays a central role in building the world's most AI-integrated urban environment.",True,False,"AI, Smart City, NEOM, Cloud, Cognitive Tech, Vision 2030, Deep Tech"
SDAIA,سدايا - الهيئة السعودية للبيانات والذكاء الاصطناعي,Information Technology,AI Governance & National Data Authority,Riyadh,Saudi Arabia,https://sdaia.gov.sa,N/A,N/A,https://www.linkedin.com/company/sdaia,1000+,2019,"SDAIA (Saudi Data and Artificial Intelligence Authority) is the national authority responsible for driving AI adoption, data governance, and digital strategy across Saudi Arabia. It oversees the implementation of the National Strategy for Data and AI (NSDAI) aligned with Vision 2030. SDAIA also operates the Thiqah and Balad platforms, and launched the Global AI Summit (GAIN).",False,False,"AI, Data Governance, National AI Strategy, Government, Vision 2030, GAIN Summit"
Lean Technologies,لين تكنولوجيز,Information Technology,FinTech / Open Banking SaaS,Riyadh,Saudi Arabia,https://www.leantech.me,N/A,N/A,https://www.linkedin.com/company/lean-technologies,51-200,2019,"Lean Technologies is a Saudi-based open banking infrastructure startup enabling businesses in KSA and UAE to connect to banks, move money, and understand their customers via API. It offers a SaaS platform for payment initiation, account data, and identity verification. Lean is backed by major regional and global investors.",True,False,"FinTech, Open Banking, SaaS, API, Payments, KSA"
Salla,سلة,Information Technology,E-Commerce SaaS Platform,Jeddah,Saudi Arabia,https://salla.com,info@salla.sa,N/A,https://www.linkedin.com/company/salla-platform,201-500,2016,"Salla is Saudi Arabia's leading e-commerce SaaS platform, providing merchants with integrated tools to create, manage, and scale online stores. The platform offers comprehensive solutions including storefront building, payments, marketing, and logistics integrations. Salla serves thousands of merchants across the Kingdom and wider Arab world.",True,False,"E-Commerce, SaaS, Online Store, Retail Tech, SME, Saudi Arabia"
Qoyod,قيود,Information Technology,Accounting & Billing SaaS,Riyadh,Saudi Arabia,https://www.qoyod.com,support@qoyod.com,N/A,https://www.linkedin.com/company/qoyod,11-50,2016,"Qoyod is a Saudi cloud-based accounting and invoicing SaaS platform designed for SMEs, fully compliant with ZATCA (Saudi Tax Authority) e-invoicing requirements. It integrates accounting, cashier management, and bookkeeping services into a single system. Qoyod targets small and medium enterprises across Saudi Arabia seeking simplified financial management.",True,False,"Accounting SaaS, E-Invoicing, ZATCA, SME, Cloud Accounting, FinTech"
Rewaa,رواء,Information Technology,Retail Management & Accounting SaaS,Riyadh,Saudi Arabia,https://www.rewaatech.com,N/A,N/A,https://www.linkedin.com/company/rewaatech,51-200,2019,"Rewaa is a Saudi SaaS startup offering an all-in-one retail management platform combining POS (cashier), accounting, inventory management, and e-invoicing in a single cloud-based system. It targets small and medium-sized retail businesses in Saudi Arabia. The platform is compliant with ZATCA's electronic invoicing mandates.",True,False,"Retail Tech, POS, Accounting SaaS, Inventory Management, ZATCA, SME"
Microsoft Saudi Arabia,مايكروسوفت المملكة العربية السعودية,Information Technology,ERP & Enterprise Software,Riyadh,Saudi Arabia,https://www.microsoft.com/ar-sa,N/A,N/A,https://www.linkedin.com/company/microsoft,"1,000+",1991,"Microsoft Saudi Arabia offers Dynamics 365, a leading cloud ERP and CRM suite widely deployed across Saudi enterprises and government organizations. The company supports digital transformation across industries including retail, manufacturing, finance, and public sector in line with Vision 2030. Microsoft operates two cloud regions in Saudi Arabia (Riyadh & Jeddah) ensuring local data residency.",False,True,"ERP, Dynamics 365, Cloud, CRM, Enterprise Software, Microsoft 365"
ERPGulf,ERP الخليج,Information Technology,ERP & Enterprise Software,Riyadh,Saudi Arabia,https://www.erpgulf.com,sales@ERPGulf.com,+966530546891,https://www.linkedin.com/company/erpgulf,50–200,2012,"ERPGulf is a leading ERP software provider serving businesses across Saudi Arabia, UAE, Qatar, and the wider Gulf region. The company offers comprehensive ERP solutions tailored to SMEs and mid-market enterprises covering finance, HR, inventory, and operations. ERPGulf is known for its Frappe/ERPNext-based implementations and strong local support capabilities.",False,False,"ERP, ERPNext, SME, Frappe, Gulf Region, Cloud ERP"
Intalio Saudi Arabia,إنتاليو المملكة العربية السعودية,Information Technology,ERP & Digital Transformation,Riyadh,Saudi Arabia,https://www.intalio.com,N/A,N/A,https://www.linkedin.com/company/intalio,200–500,2000,"Intalio is a global digital transformation leader with a strong presence in Saudi Arabia, delivering content management, process automation, and ERP solutions. The company supports organizations across government, energy, and financial sectors in their end-to-end digital transformation journeys. Intalio's platform integrates data, content, and process management into unified enterprise solutions.",False,False,"ERP, Digital Transformation, BPM, Content Management, Process Automation"
Alnafitha IT,النافذة لتقنية المعلومات,Information Technology,Enterprise Software & IT Solutions,Riyadh,Saudi Arabia,https://www.alnafitha.com,info@alnafitha.com,N/A,https://www.linkedin.com/company/alnafitha-it,100–500,2006,"Alnafitha IT is a Saudi-based technology solutions provider specializing in enterprise software, cloud services, cybersecurity, and data analytics. The company helps organizations accelerate digital transformation through Microsoft, SAP, and other enterprise platform implementations. It serves clients across banking, healthcare, government, and retail sectors in the Kingdom.",False,False,"Enterprise Software, Cloud, Cybersecurity, Data Analytics, Digital Transformation, Microsoft Partner"
Madaratech,مدارة تك,Information Technology,ERP & Enterprise Software,Riyadh,Saudi Arabia,https://www.madaratech.com,info@madaratech.com,+966503796945,https://www.linkedin.com/company/madaratech,50–200,2015,"Madaratech is a Saudi technology company offering ERP and enterprise software solutions tailored to the local market. The company focuses on helping Saudi SMEs and mid-market businesses digitize their operations through scalable and affordable ERP platforms. Madaratech provides implementation, customization, and ongoing support services for enterprise clients across various industries.",False,False,"ERP, Enterprise Software, SME, Digital Transformation, Saudi Arabia"
SAS Institute Saudi Arabia,N/A,Information Technology,Advanced Analytics & AI Software,Riyadh,Saudi Arabia,https://www.sas.com/en_sa,N/A,N/A,https://www.linkedin.com/company/sas,100-500,1976,"SAS is a global leader in analytics, artificial intelligence, and data management software, with a strong presence in Saudi Arabia. It helps government and enterprise clients turn data into actionable decisions. SAS supports the Kingdom's digital transformation through advanced analytics platforms.",False,False,"analytics, AI, data management, machine learning, business intelligence"
Saudi Data and AI Authority (SDAIA),الهيئة السعودية للبيانات والذكاء الاصطناعي,Information Technology,Data Governance & Artificial Intelligence,Riyadh,Saudi Arabia,https://www.sdaia.gov.sa,N/A,N/A,https://www.linkedin.com/company/sdaia,500-1000,2019,"SDAIA is the national authority responsible for overseeing data and AI strategy across Saudi Arabia in alignment with Vision 2030. It drives initiatives around big data, AI adoption, and digital infrastructure at a national level. SDAIA also regulates personal data protection and promotes data-driven governance.",False,False,"AI, big data, data governance, national strategy, Vision 2030, government"
Analytix Saudi Arabia,N/A,Information Technology,Business Analytics & Consulting,Riyadh,Saudi Arabia,https://www.analytix.sa,info@analytix.sa,+966 55 440 2052,N/A,10-50,N/A,"Analytix is a Saudi-based firm offering business analytics, company formation, and growth support solutions for enterprises operating in the Kingdom. It combines data-driven insights with business consulting to help clients scale efficiently. The company serves both local and international businesses navigating the Saudi market.",True,False,"business analytics, consulting, business formation, SME support, Riyadh"
Datasparq,N/A,Information Technology,AI & Data Science Consulting,Riyadh,Saudi Arabia,https://www.datasparq.ai,N/A,N/A,https://www.linkedin.com/company/datasparq,50-200,2018,"Datasparq is a specialist AI and data consultancy helping organizations design and implement practical data and machine learning solutions. The company operates across the Middle East including Saudi Arabia, delivering end-to-end analytics strategy and engineering. It is known for translating complex data into actionable business outcomes.",True,False,"AI, data science, machine learning, consulting, analytics engineering"
Silah Gulf,سلاح الخليج,Information Technology,Customer Experience Analytics & CX Solutions,Riyadh,Saudi Arabia,https://www.silah.sa,info@silah.sa,N/A,https://www.linkedin.com/company/silah-gulf,200-500,2010,"Silah Gulf is a leading customer experience (CX) solutions provider operating across Saudi Arabia and the wider Gulf region. The company leverages data analytics to deliver bespoke CX strategies, contact center solutions, and digital engagement tools. It partners with enterprises to optimize customer journeys using data-driven methodologies.",False,False,"CX analytics, customer experience, contact center, data-driven, Gulf region"
AppInventiv,أب إنفنتيف,Information Technology,Mobile App Development,Riyadh,Saudi Arabia,https://www.appinventiv.com/saudi-arabia,info@appinventiv.com,+966-563-1172,https://www.linkedin.com/company/appinventiv,1000+,2015,"AppInventiv is a leading mobile app and software development company with a strong presence in Saudi Arabia. They deliver end-to-end digital transformation solutions including iOS, Android, and cross-platform mobile applications. Their Saudi operations serve enterprise and government clients across the Kingdom.",False,False,"Mobile App Development, iOS, Android, Digital Transformation, Software Development"
